,date,quarter,year,statementData.balanceSheet.intangibles,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.deferredRev,statementData.balanceSheet.accoci,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.investments,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.totalAssets,statementData.balanceSheet.equity,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.ppeq,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.acctRec,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.debtCurrent,statementData.cashFlow.depamor,statementData.cashFlow.issrepayEquity,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.capex,statementData.cashFlow.ncfo,statementData.cashFlow.ncff,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.ncfi,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfx,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.costRev,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.rnd,statementData.incomeStatement.revenue,statementData.incomeStatement.sga,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.taxExp,statementData.incomeStatement.shareswa,statementData.incomeStatement.intexp,statementData.incomeStatement.eps,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebt,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.roe,statementData.overview.grossMargin,statementData.overview.bvps,statementData.overview.revenueQoQ,statementData.overview.currentRatio
0,2020-09-30 00:00:00+00:00,1,2021,6592000000.0,0.0,11691000000.0,0.0,-408000000.0,7947000000.0,2012000000.0,0.0,604757306.0,5061000000.0,0.0,7947000000.0,0.0,1525000000.0,22497000000.0,10791000000.0,3963000000.0,14034000000.0,0.0,1539000000.0,8463000000.0,1271000000.0,1997000000.0,,,,68000000.0,-267000000.0,0.0,31000000.0,-117000000.0,267000000.0,298000000.0,-15000000.0,416000000.0,-149000000.0,0.0,0.0,-31000000.0,150000000.0,1168000000.0,1106000000.0,1567000000.0,1117000000.0,0.0,2717000000.0,388000000.0,605000000.0,362000000.0,603000000.0,99000000.0,1.83,1.83,0.0,11000000.0,1549000000.0,1468000000.0,1058000000.0,491000000.0,1635000000.0,1106000000.0,0.0,0.736447039199333,0.570114096429886,1.2875,4.4927113290633,0.0756351990957685,4.0,10806000000.0,0.155420608230712,0.570114096429886,17.8683248516224,0.0187476565429321,
1,2020-06-30 00:00:00+00:00,4,2020,6607000000.0,0.0,11639000000.0,0.0,-417000000.0,7946000000.0,1906000000.0,0.0,603720641.0,4645000000.0,0.0,7946000000.0,0.0,674000000.0,21750000000.0,10094000000.0,4358000000.0,14264000000.0,0.0,1498000000.0,7486000000.0,856000000.0,1888000000.0,,,,94000000.0,0.0,1191000000.0,36000000.0,-167000000.0,1020000000.0,1132000000.0,-14000000.0,1449000000.0,-703000000.0,-450000000.0,0.0,-103000000.0,853000000.0,1187000000.0,122000000.0,277000000.0,145000000.0,0.0,2418000000.0,494000000.0,605000000.0,55000000.0,603720641.0,100000000.0,0.2,0.2,0.0,23000000.0,1231000000.0,177000000.0,201000000.0,1030000000.0,371000000.0,122000000.0,0.0,0.787200317020012,0.509098428453267,-0.726027397260274,4.00516370617184,0.0481614057923853,5.0,10111000000.0,0.0977925701140424,0.509098428453267,16.7478123379253,-0.0378034222045364,
3,2020-03-31 00:00:00+00:00,3,2020,6173000000.0,0.0,10104000000.0,0.0,-291000000.0,6754000000.0,1780000000.0,0.0,606833127.0,3196000000.0,0.0,6754000000.0,0.0,589000000.0,20237000000.0,10114000000.0,4386000000.0,13493000000.0,0.0,1386000000.0,6744000000.0,971000000.0,2453000000.0,,,,57000000.0,-179000000.0,0.0,36000000.0,-82000000.0,1601000000.0,-348000000.0,-152000000.0,1205000000.0,-48000000.0,-351000000.0,0.0,349000000.0,1519000000.0,2061000000.0,78000000.0,222000000.0,90000000.0,0.0,3440000000.0,464000000.0,612000000.0,55000000.0,608000000.0,89000000.0,0.13,0.13,0.0,12000000.0,1379000000.0,133000000.0,858000000.0,521000000.0,279000000.0,78000000.0,0.0,0.667787225627843,0.400872093023256,-0.847058823529412,5.66877424277465,0.0659482224699616,5.0,10133000000.0,0.130762618199681,0.400872093023256,16.6981655238475,0.25,
4,2019-12-31 00:00:00+00:00,2,2020,5902000000.0,0.0,10097000000.0,0.0,-296000000.0,6753000000.0,1816000000.0,0.0,620684699.0,1991000000.0,0.0,6753000000.0,0.0,775000000.0,20450000000.0,10334000000.0,4398000000.0,14052000000.0,0.0,1330000000.0,6398000000.0,1544000000.0,2733000000.0,1816000000.0,8281000000.0,0.0,57000000.0,-421000000.0,0.0,38000000.0,-71000000.0,-458000000.0,-582000000.0,-169000000.0,-1349000000.0,-309000000.0,-260000000.0,0.0,0.0,-529000000.0,3091000000.0,300000000.0,495000000.0,314000000.0,0.0,3778000000.0,431000000.0,620000000.0,105000000.0,617000000.0,90000000.0,0.49,0.48,0.0,14000000.0,687000000.0,405000000.0,199000000.0,488000000.0,552000000.0,300000000.0,0.0,0.653473969421328,0.181842244573849,48.0,6.08682638074827,0.0912092130518234,2.0,10353000000.0,0.181832096119997,0.181842244573849,16.6799665219393,0.0544236673178899,3.52312775330396
5,2019-09-30 00:00:00+00:00,1,2020,5555000000.0,0.0,10204000000.0,0.0,-304000000.0,6752000000.0,1890000000.0,0.0,620608022.0,3340000000.0,0.0,6752000000.0,0.0,696000000.0,20534000000.0,10320000000.0,4485000000.0,13485000000.0,0.0,1314000000.0,7049000000.0,1463000000.0,2108000000.0,1890000000.0,8314000000.0,0.0,50000000.0,0.0,0.0,27000000.0,-39000000.0,202000000.0,-56000000.0,-14000000.0,106000000.0,-40000000.0,0.0,0.0,0.0,163000000.0,1468000000.0,499000000.0,776000000.0,513000000.0,0.0,2667000000.0,352000000.0,624000000.0,187000000.0,622000000.0,90000000.0,0.8,0.8,0.0,14000000.0,1199000000.0,686000000.0,788000000.0,411000000.0,826000000.0,499000000.0,0.0,0.654263565891473,0.449568803899513,-0.175257731958763,4.29739852766518,0.0837478571227833,3.0,10330000000.0,0.15180458979649,0.449568803899513,16.6449669256773,0.0495867768595042,3.72962962962963
6,2019-06-30 00:00:00+00:00,4,2019,5542000000.0,0.0,9551000000.0,0.0,-308000000.0,6751000000.0,1712000000.0,0.0,620525029.0,3234000000.0,0.0,6751000000.0,0.0,357000000.0,19509000000.0,9947000000.0,4651000000.0,13031000000.0,0.0,1313000000.0,6478000000.0,1129000000.0,1967000000.0,1712000000.0,7839000000.0,0.0,60000000.0,0.0,0.0,31000000.0,-88000000.0,900000000.0,-158000000.0,-155000000.0,416000000.0,-326000000.0,0.0,0.0,-238000000.0,812000000.0,1358000000.0,454000000.0,736000000.0,465000000.0,0.0,2513000000.0,455000000.0,624000000.0,191000000.0,620525029.0,91000000.0,0.73,0.73,0.0,11000000.0,1155000000.0,645000000.0,628000000.0,527000000.0,796000000.0,454000000.0,0.0,0.678697094601387,0.459610027855153,-0.0394736842105263,4.04979635398397,0.0985937258538093,5.0,9958000000.0,0.159555844545591,0.459610027855153,16.047700793065,0.0497076023391814,3.7838785046729
8,2019-03-31 00:00:00+00:00,3,2019,5546000000.0,0.0,9046000000.0,0.0,-214000000.0,6750000000.0,1297000000.0,0.0,620595275.0,2818000000.0,0.0,6750000000.0,0.0,101000000.0,17657000000.0,8600000000.0,3685000000.0,11693000000.0,0.0,1286000000.0,5964000000.0,1074000000.0,1949000000.0,1297000000.0,7749000000.0,0.0,58000000.0,0.0,6750000000.0,5000000.0,-59000000.0,1588000000.0,-661000000.0,-11000000.0,867000000.0,-60000000.0,0.0,0.0,0.0,1529000000.0,1660000000.0,529000000.0,777000000.0,539000000.0,0.0,2752000000.0,336000000.0,621000000.0,167000000.0,621000000.0,81000000.0,0.85,0.85,0.0,10000000.0,1092000000.0,696000000.0,684000000.0,408000000.0,835000000.0,529000000.0,0.0,0.784883720930233,0.396802325581395,0.148648648648649,4.43445206700937,0.110558622818148,5.0,8611000000.0,0.162692705573638,0.396802325581395,13.8753876268233,0.117336581404791,4.59830377794911
9,2018-12-31 00:00:00+00:00,2,2019,5606000000.0,0.0,3060000000.0,0.0,-202000000.0,0.0,1241000000.0,0.0,620595275.0,1951000000.0,0.0,0.0,0.0,101000000.0,13466000000.0,10394000000.0,0.0,7589000000.0,1106000000.0,1150000000.0,5877000000.0,1422000000.0,2438000000.0,1241000000.0,1819000000.0,0.0,51000000.0,0.0,0.0,0.0,-46000000.0,-211000000.0,-550000000.0,-22000000.0,-805000000.0,-44000000.0,0.0,0.0,0.0,-257000000.0,2818000000.0,8000000.0,30000000.0,24000000.0,0.0,3583000000.0,329000000.0,621000000.0,7000000.0,621000000.0,15000000.0,0.01,0.01,0.0,16000000.0,765000000.0,15000000.0,385000000.0,380000000.0,81000000.0,8000000.0,0.0,0.0,0.21350823332403,0.148648648648649,5.77348901020879,0.120753533413052,5.0,10406000000.0,0.1659214566611,0.21350823332403,16.7677718783792,0.152831402831403,4.73569701853344
10,2018-09-30 00:00:00+00:00,1,2019,5609000000.0,0.0,3024000000.0,0.0,-61000000.0,0.0,1328000000.0,0.0,620595275.0,2756000000.0,0.0,0.0,0.0,101000000.0,14078000000.0,11045000000.0,0.0,7923000000.0,1146000000.0,1164000000.0,6155000000.0,1420000000.0,1912000000.0,1328000000.0,1696000000.0,0.0,43000000.0,0.0,0.0,0.0,-42000000.0,247000000.0,216000000.0,0.0,256000000.0,-207000000.0,0.0,0.0,-100000000.0,205000000.0,1491000000.0,604000000.0,836000000.0,615000000.0,0.0,2541000000.0,299000000.0,621000000.0,216000000.0,621000000.0,16000000.0,0.97,0.97,0.0,11000000.0,1050000000.0,820000000.0,708000000.0,342000000.0,879000000.0,604000000.0,0.0,0.0,0.413223140495868,0.148648648648649,4.09445592379027,0.120753533413052,5.0,11054000000.0,0.1659214566611,0.413223140495868,17.8119306499715,0.161334552102377,4.63478915662651
11,2018-06-30 00:00:00+00:00,4,2018,5613000000.0,0.0,3527000000.0,0.0,81000000.0,0.0,1759000000.0,0.0,620595275.0,2500000000.0,0.0,0.0,0.0,0.0,13121000000.0,9594000000.0,0.0,7541000000.0,1071000000.0,1169000000.0,5580000000.0,1180000000.0,1833000000.0,1759000000.0,1768000000.0,0.0,45000000.0,0.0,0.0,0.0,-67000000.0,532000000.0,256000000.0,-41000000.0,719000000.0,-69000000.0,0.0,0.0,0.0,465000000.0,1451000000.0,471000000.0,607000000.0,480000000.0,0.0,2394000000.0,313000000.0,621000000.0,113000000.0,620595275.0,23000000.0,0.76,0.76,0.0,9000000.0,943000000.0,584000000.0,580000000.0,363000000.0,652000000.0,471000000.0,0.0,0.0,0.39390142021721,0.148648648648649,3.85758657282719,0.120753533413052,5.0,9594000000.0,0.1659214566611,0.39390142021721,15.4593507016308,0.161334552102377,3.1722569641842
13,2018-03-31 00:00:00+00:00,3,2018,5613000000.0,0.0,3527000000.0,0.0,81000000.0,0.0,1759000000.0,0.0,620595275.0,2500000000.0,0.0,0.0,0.0,0.0,13121000000.0,9594000000.0,0.0,7541000000.0,1071000000.0,1169000000.0,5580000000.0,1180000000.0,1833000000.0,1759000000.0,1768000000.0,0.0,43000000.0,0.0,0.0,0.0,-36000000.0,820000000.0,947000000.0,0.0,1725000000.0,-42000000.0,0.0,0.0,0.0,784000000.0,1444000000.0,457000000.0,652000000.0,466000000.0,0.0,2463000000.0,324000000.0,621000000.0,188000000.0,621000000.0,7000000.0,0.74,0.74,0.0,9000000.0,1019000000.0,645000000.0,638000000.0,381000000.0,695000000.0,457000000.0,0.0,0.0,0.413723101908242,0.148648648648649,3.85758657282719,0.120753533413052,5.0,9594000000.0,0.1659214566611,0.413723101908242,15.4593507016308,0.161334552102377,3.1722569641842
