,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.totalAssets,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.ppeq,statementData.balanceSheet.deposits,statementData.balanceSheet.equity,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.deferredRev,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctRec,statementData.balanceSheet.investments,statementData.balanceSheet.debt,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.inventory,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncff,statementData.cashFlow.depamor,statementData.cashFlow.ncf,statementData.cashFlow.ncfx,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.payDiv,statementData.cashFlow.ncfo,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.issrepayEquity,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.ebit,statementData.incomeStatement.revenue,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.opex,statementData.incomeStatement.netinc,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.epsDil,statementData.incomeStatement.sga,statementData.incomeStatement.shareswa,statementData.incomeStatement.ebt,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.costRev,statementData.incomeStatement.opinc,statementData.incomeStatement.rnd,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.taxExp,statementData.incomeStatement.intexp,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-10-02 00:00:00+00:00,4,2020,6498686000.0,12354353000.0,862424000.0,3557089000.0,-933057000.0,2941597000.0,0.0,3366000.0,896286000.0,0.0,5815712000.0,4539599000.0,2412143000.0,1061754000.0,465648000.0,4020575000.0,211047000.0,3167310000.0,347510000.0,2576455000.0,130208041.0,0.0,164312000.0,6297431000.0,347510000.0,7814754000.0,-491244000.0,-580811000.0,47565000.0,-162386000.0,22466000.0,80000.0,11942000.0,-46441000.0,432373000.0,402925000.0,-36414000.0,-29448000.0,-42987000.0,-7046000.0,76312000.0,3519689000.0,0.63,0.0,642463000.0,81990000.0,10360000.0,0.63,642463000.0,130208041.0,62269000.0,664936000.0,123877000.0,2854753000.0,22473000.0,0.0,0.0,92350000.0,81990000.0,-19721000.0,14043000.0,5.0,0.0373802302067605,0.188918964147116,1.54324300711484,5855667000.0,0.188918964147116,27.0312722084499,-0.411214953271028,0.414763145080086,0.0847355768971932,44.9716235266914,0.0391116800560844
2,2020-06-26 00:00:00+00:00,3,2020,6726772000.0,12611766000.0,1024810000.0,3998298000.0,-911692000.0,2728474000.0,0.0,0.0,346637000.0,0.0,5835813000.0,4612311000.0,2155166000.0,1049224000.0,450326000.0,4028062000.0,0.0,3153664000.0,0.0,2155166000.0,130102663.0,0.0,0.0,6292854000.0,0.0,7999455000.0,-954863000.0,-981894000.0,45411000.0,-631069000.0,18743000.0,0.0,12373000.0,-33991000.0,359508000.0,332082000.0,-27426000.0,-27426000.0,9873000.0,0.0,330796000.0,3260057000.0,1.88,0.0,434650000.0,244929000.0,9121000.0,1.87,434650000.0,130102663.0,312603000.0,629026000.0,376207000.0,2631031000.0,194376000.0,0.0,0.0,254050000.0,244929000.0,67674000.0,18193000.0,6.0,0.0285317933810403,0.192949387081269,1.69043611923735,5884994000.0,0.192949387081269,25.0575731874143,-0.509138381201044,0.36930004439827,0.0955459409625383,45.2334630537117,0.0447019568991474
3,2020-03-27 00:00:00+00:00,2,2020,7521630000.0,13134613000.0,1655879000.0,4896746000.0,-946317000.0,2624884000.0,0.0,0.0,330505000.0,0.0,5561783000.0,5166854000.0,3099456000.0,1030263000.0,416009000.0,3808698000.0,0.0,3178580000.0,0.0,3099456000.0,133050144.0,0.0,0.0,6285951000.0,0.0,7967759000.0,1498948000.0,1187525000.0,44660000.0,1036667000.0,27980000.0,-358000.0,9556000.0,-37912000.0,152154000.0,113115000.0,-330992000.0,-39039000.0,-273103000.0,-291595000.0,-138055000.0,3427180000.0,-0.69,0.0,480357000.0,-92087000.0,6284000.0,-0.69,480357000.0,133050144.0,-153209000.0,648135000.0,-93395000.0,2779045000.0,167778000.0,0.0,0.0,-85803000.0,-92087000.0,-61122000.0,15154000.0,5.0,0.108547171105151,0.189116124627245,1.96841231841102,5612983000.0,0.189116124627245,25.7585591188838,-2.68292682926829,0.557277405465118,0.142528829788592,42.1869742583668,0.0686791643411542
4,2019-12-27 00:00:00+00:00,1,2020,6138388000.0,12200559000.0,619212000.0,3306752000.0,-880166000.0,2831636000.0,0.0,0.0,308672000.0,0.0,6004425000.0,4378586000.0,1414903000.0,1032820000.0,435211000.0,4145825000.0,0.0,3056115000.0,0.0,1614839000.0,132854642.0,0.0,199936000.0,6082890000.0,0.0,7821973000.0,210616000.0,166865000.0,43997000.0,-11856000.0,-7275000.0,-12000000.0,14279000.0,-25618000.0,-137186000.0,-159446000.0,-34260000.0,-22260000.0,6201000.0,0.0,340316000.0,3360049000.0,1.93,0.0,493226000.0,257010000.0,6257000.0,1.91,493226000.0,132854642.0,325499000.0,644571000.0,384313000.0,2715478000.0,151345000.0,0.0,0.0,263267000.0,257010000.0,68489000.0,14817000.0,6.0,0.0895849520135625,0.191833809566468,1.54630962454214,6062171000.0,0.191833809566468,25.2911674700836,1.2183908045977,0.235643379674157,0.168757600817345,45.6301030113799,0.0813004217562901
5,2019-09-27 00:00:00+00:00,4,2019,5694053000.0,11462711000.0,631068000.0,2620347000.0,-916812000.0,3073706000.0,0.0,233111000.0,308143000.0,0.0,5714691000.0,4111768000.0,1201245000.0,1072645000.0,414208000.0,3939174000.0,514633000.0,2840209000.0,451133000.0,1401146000.0,135498113.0,0.0,199901000.0,6097620000.0,451133000.0,7350943000.0,156872000.0,-177964000.0,43260000.0,-367174000.0,-13491000.0,-4857000.0,21796000.0,-24139000.0,-146123000.0,-175553000.0,-29596000.0,-29430000.0,-310243000.0,4691000.0,176570000.0,3392863000.0,1.07,0.0,566446000.0,142325000.0,7467000.0,1.06,566446000.0,135498113.0,166450000.0,665534000.0,219830000.0,2727329000.0,99088000.0,0.0,0.0,149792000.0,142325000.0,24125000.0,10120000.0,6.0,0.134032475482618,0.19615705084467,1.33772325655089,5768658000.0,0.19615705084467,25.0399280468208,-4.68965517241379,0.210202966354611,0.147515124788475,42.5737146612514,0.0692298126197455
7,2019-06-28 00:00:00+00:00,3,2019,5533145000.0,11641262000.0,998242000.0,2243697000.0,-763589000.0,3289448000.0,0.0,0.0,305266000.0,0.0,6060063000.0,4475945000.0,1025198000.0,884992000.0,506394000.0,4053626000.0,0.0,2779189000.0,0.0,1247885000.0,136608836.0,0.0,222687000.0,6064858000.0,0.0,7165317000.0,-1895959000.0,-1943681000.0,44234000.0,147604000.0,15164000.0,64708000.0,18425000.0,-25867000.0,-165081000.0,-210211000.0,2241202000.0,-45130000.0,-15985000.0,2221624000.0,541439000.0,3169622000.0,3.83,0.0,536180000.0,524442000.0,6622000.0,3.8,536180000.0,136608836.0,522461000.0,626134000.0,585673000.0,2543488000.0,89954000.0,0.0,0.0,531064000.0,524442000.0,-1981000.0,18978000.0,6.0,0.0804462604772325,0.197542167488742,1.36069790432924,6108117000.0,0.197542167488742,23.2021741258377,2.64761904761905,0.169172828731318,0.115523881438082,44.7124591560095,0.0532593452358687
8,2019-03-29 00:00:00+00:00,2,2019,7390264000.0,12945845000.0,674548000.0,4202064000.0,-860260000.0,3188200000.0,0.0,0.0,268800000.0,0.0,5465854000.0,4846470000.0,2841536000.0,828522000.0,450864000.0,3620873000.0,0.0,2747172000.0,0.0,2841560000.0,139516853.0,0.0,24000.0,5308487000.0,0.0,8099375000.0,164773000.0,-193092000.0,42169000.0,-63264000.0,-2979000.0,-2938000.0,13322000.0,-27787000.0,169469000.0,135745000.0,-36662000.0,-33724000.0,-328273000.0,0.0,78393000.0,3091596000.0,0.41,0.0,514160000.0,56917000.0,5856000.0,0.41,514160000.0,139516853.0,48970000.0,616841000.0,120562000.0,2474755000.0,102681000.0,0.0,0.0,62773000.0,56917000.0,-7947000.0,29423000.0,6.0,0.0771004374114856,0.199521865081984,1.52012734458315,5555581000.0,0.199521865081984,22.1593014286238,0.205882352941176,0.5198704539126,0.0510266036509681,39.8201427321472,0.0230104846450324
9,2018-12-28 00:00:00+00:00,1,2019,7104225000.0,12945259000.0,886707000.0,4009501000.0,-856552000.0,3094724000.0,0.0,0.0,256488000.0,0.0,5753102000.0,4898862000.0,2668993000.0,895434000.0,409764000.0,3796864000.0,0.0,2681908000.0,0.0,2672129000.0,142263898.0,0.0,3136000.0,5323116000.0,0.0,8046397000.0,527057000.0,345725000.0,39606000.0,120544000.0,22115000.0,-2079000.0,15594000.0,-28603000.0,-224701000.0,-245217000.0,-22595000.0,-20516000.0,-134217000.0,0.0,172379000.0,3083788000.0,0.87,0.0,455390000.0,124296000.0,5295000.0,0.86,455390000.0,142263898.0,147054000.0,568520000.0,211985000.0,2515268000.0,113130000.0,0.0,0.0,129591000.0,124296000.0,22758000.0,25325000.0,3.0,0.728581686424712,0.184357679581087,1.58297218104102,5841034000.0,0.184357679581087,21.6765324397339,42.5,0.463922419592074,0.0485876064290562,41.0577390477519,0.022509843977499
10,2018-09-28 00:00:00+00:00,4,2018,6701441000.0,12645795000.0,634870000.0,3555748000.0,-806703000.0,3145693000.0,0.0,0.0,257859000.0,0.0,5854345000.0,4556584000.0,2144167000.0,776189000.0,442760000.0,3809991000.0,0.0,2513934000.0,0.0,2147339000.0,141904099.0,0.0,3172000.0,5368808000.0,0.0,8089211000.0,-192893000.0,-197366000.0,51377000.0,-31012000.0,-8750000.0,-13030000.0,17421000.0,-21337000.0,212202000.0,183591000.0,-37098000.0,-28611000.0,19997000.0,4543000.0,204514000.0,2991857000.0,-0.29,0.0,445385000.0,-37541000.0,2226000.0,-0.28,445385000.0,141904099.0,177861000.0,606232000.0,255891000.0,2385625000.0,160847000.0,0.0,0.0,-31423000.0,-37541000.0,215402000.0,26653000.0,6.0,-3.88011986954128,0.202627331453342,1.44851516025245,5944354000.0,0.202627331453342,21.0836545320653,-1.37179487179487,0.366252245127337,0.0276706064969401,41.8899386408845,0.0129472781708823
12,2018-06-29 00:00:00+00:00,3,2018,6498895000.0,12551812000.0,824370000.0,3402710000.0,-728176000.0,3096185000.0,0.0,0.0,471104000.0,0.0,5965191000.0,4476045000.0,2336473000.0,1072057000.0,559898000.0,3880886000.0,0.0,3463697000.0,0.0,2345437000.0,141791890.0,0.0,8964000.0,6635712000.0,0.0,8075767000.0,-159814000.0,-184727000.0,52023000.0,-11045000.0,-34082000.0,15310000.0,14632000.0,-20999000.0,214746000.0,196183000.0,-6982000.0,-18563000.0,6921000.0,-3729000.0,205184000.0,2933623000.0,1.05,0.0,446083000.0,150222000.0,4397000.0,1.05,446083000.0,141791890.0,181396000.0,608595000.0,257207000.0,2325028000.0,162512000.0,0.0,0.0,150071000.0,150222000.0,31174000.0,23788000.0,6.0,0.16656599400895,0.207455081992471,1.44566458399611,6052917000.0,0.207455081992471,20.6896388785,0.418918918918919,0.391684524435177,0.0531753794423687,42.6887391091268,0.0261010110622816
13,2018-03-30 00:00:00+00:00,2,2018,6576390000.0,12601866000.0,835415000.0,3593157000.0,-617064000.0,2983233000.0,0.0,0.0,504412000.0,0.0,5936567000.0,4457271000.0,2511800000.0,964280000.0,582362000.0,3755651000.0,0.0,3421230000.0,0.0,2517359000.0,141671364.0,0.0,5559000.0,6662774000.0,0.0,8144595000.0,-80945000.0,-101164000.0,55660000.0,-224424000.0,14187000.0,-7089000.0,22570000.0,-26090000.0,7318000.0,-14753000.0,-144765000.0,-22071000.0,9231000.0,-115605000.0,119671000.0,2870295000.0,0.34,0.0,532873000.0,48587000.0,3345000.0,0.34,532873000.0,141671364.0,100443000.0,601628000.0,175331000.0,2268667000.0,68755000.0,0.0,0.0,51932000.0,48587000.0,51856000.0,19228000.0,6.0,0.246563075037556,0.209604936077999,1.49410756719304,6025476000.0,0.209604936077999,20.2602341006613,-0.170731707317073,0.423106485617024,0.0457334509304518,42.5313615248315,0.0234396240148955
