,date,quarter,year,statementData.balanceSheet.debt,statementData.balanceSheet.inventory,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.equity,statementData.balanceSheet.accoci,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.deposits,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.investmentsCurrent,statementData.cashFlow.ncff,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.ncfo,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.sbcomp,statementData.cashFlow.payDiv,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.issrepayEquity,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.sga,statementData.incomeStatement.shareswa,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.costRev,statementData.incomeStatement.ebt,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.opex,statementData.incomeStatement.ebit,statementData.incomeStatement.intexp,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.eps,statementData.incomeStatement.revenue,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-10-31 00:00:00+00:00,3,2021,9653000000.0,1865000000.0,11161000000.0,69000000.0,6234000000.0,1101000000.0,3330000000.0,0.0,-1568000000.0,48000000.0,-2280000000.0,305000000.0,1039000000.0,277889018.0,0.0,297000000.0,0.0,9017000000.0,636000000.0,4789000000.0,0.0,2622000000.0,4927000000.0,12725000000.0,9395000000.0,0.0,-342000000.0,-324000000.0,11000000.0,420000000.0,0.0,0.0,0.0,-76000000.0,11000000.0,0.0,127000000.0,-67000000.0,0.0,344000000.0,0.0,778000000.0,277889018.0,0.0,1696000000.0,410000000.0,0.0,331000000.0,331000000.0,778000000.0,531000000.0,121000000.0,331000000.0,1.19,3055000000.0,581000000.0,79000000.0,658000000.0,0.0,1359000000.0,1.17,-0.0199014541521452,0.141202838998879,-1564000000.0,1.47957957957958,-2.30769230769231,0.444844517184943,10.9935974511954,-5.75063775510204,0.444844517184943,-5.62814612558745,5.0,0.121123464014043
1,2020-08-01 00:00:00+00:00,2,2021,10051000000.0,1476000000.0,10880000000.0,74000000.0,6375000000.0,957000000.0,3433000000.0,0.0,-1908000000.0,49000000.0,-2611000000.0,243000000.0,1039000000.0,277829273.0,0.0,268000000.0,0.0,8967000000.0,1084000000.0,4927000000.0,0.0,2611000000.0,4505000000.0,12784000000.0,9351000000.0,0.0,1209000000.0,1225000000.0,1782000000.0,628000000.0,0.0,0.0,1000000.0,-69000000.0,8000000.0,0.0,127000000.0,-56000000.0,0.0,559000000.0,0.0,667000000.0,277829273.0,0.0,1608000000.0,-60000000.0,0.0,-49000000.0,-49000000.0,667000000.0,44000000.0,104000000.0,-49000000.0,-0.18,2319000000.0,44000000.0,-11000000.0,171000000.0,0.0,711000000.0,-0.18,-0.0769343136777523,-0.200895933838732,-1904000000.0,1.31226332653656,-2.28571428571429,0.306597671410091,8.34685263708695,-4.69968553459119,0.306597671410091,-6.85312954765569,4.0,0.485407066052227
2,2020-05-02 00:00:00+00:00,1,2021,9037000000.0,1491000000.0,9439000000.0,84000000.0,6590000000.0,715000000.0,2683000000.0,0.0,-1861000000.0,51000000.0,-2562000000.0,282000000.0,1039000000.0,276533315.0,0.0,229000000.0,0.0,7979000000.0,1058000000.0,5246000000.0,0.0,957000000.0,2849000000.0,11297000000.0,8614000000.0,0.0,-138000000.0,-46000000.0,-542000000.0,-342000000.0,0.0,0.0,-2000000.0,-55000000.0,20000000.0,-83000000.0,139000000.0,-60000000.0,0.0,-397000000.0,0.0,606000000.0,276533315.0,0.0,1366000000.0,-412000000.0,0.0,-297000000.0,-297000000.0,606000000.0,-315000000.0,97000000.0,-297000000.0,-1.07,1654000000.0,-318000000.0,-115000000.0,-176000000.0,0.0,288000000.0,-1.07,-0.068901303538175,-0.370863446177254,-1858000000.0,1.06187103988073,-8.13333333333333,0.174123337363966,5.98119615352675,-4.28747984954326,0.174123337363966,-6.71890112046717,0.0,0.508039747064137
3,2020-02-01 00:00:00+00:00,4,2020,9078000000.0,1287000000.0,10125000000.0,84000000.0,6880000000.0,647000000.0,2372000000.0,0.0,-1499000000.0,52000000.0,-2182000000.0,353000000.0,1039000000.0,276474678.0,0.0,306000000.0,0.0,8539000000.0,539000000.0,5539000000.0,0.0,1499000000.0,3245000000.0,11620000000.0,9248000000.0,0.0,-96000000.0,-10000000.0,1159000000.0,1326000000.0,0.0,0.0,1000000.0,-66000000.0,20000000.0,-83000000.0,145000000.0,-72000000.0,1000000.0,1260000000.0,0.0,992000000.0,276474678.0,0.0,2914000000.0,-6000000.0,0.0,-192000000.0,-192000000.0,1712000000.0,86000000.0,92000000.0,-192000000.0,-0.7,4707000000.0,81000000.0,186000000.0,231000000.0,0.0,1793000000.0,-0.7,-0.0345519341058743,-0.0298845836768343,-1495000000.0,1.36804384485666,-1.35714285714286,0.380922031017633,17.0250673011002,-5.69646430953969,0.380922031017633,-5.40736681859884,5.0,0.31993006993007
5,2019-11-02 00:00:00+00:00,3,2020,9120000000.0,2032000000.0,10630000000.0,63000000.0,7704000000.0,1024000000.0,2543000000.0,0.0,-1242000000.0,53000000.0,-1907000000.0,250000000.0,1729000000.0,276391606.0,0.0,295000000.0,0.0,8585000000.0,535000000.0,5701000000.0,0.0,340000000.0,2926000000.0,11868000000.0,9325000000.0,0.0,-87000000.0,4000000.0,-513000000.0,-252000000.0,0.0,0.0,-3000000.0,-148000000.0,23000000.0,-83000000.0,148000000.0,-171000000.0,0.0,-400000000.0,0.0,892000000.0,276391606.0,0.0,1936000000.0,-277000000.0,0.0,-252000000.0,-252000000.0,892000000.0,-185000000.0,92000000.0,-252000000.0,-0.91,2677000000.0,-151000000.0,-25000000.0,-37000000.0,0.0,741000000.0,-0.91,0.0362951209837366,-0.0353153153153153,-1238000000.0,1.15060951631931,4.6875,0.276802390735898,9.68553292461422,-6.9122383252818,0.276802390735898,-4.47915194645962,2.0,-0.371008616320324
6,2019-08-03 00:00:00+00:00,2,2020,9171000000.0,1329000000.0,10618000000.0,62000000.0,7965000000.0,763000000.0,2216000000.0,0.0,-933000000.0,49000000.0,-1572000000.0,244000000.0,1759000000.0,276340439.0,0.0,283000000.0,0.0,8640000000.0,531000000.0,5965000000.0,0.0,853000000.0,2653000000.0,11547000000.0,9331000000.0,0.0,-397000000.0,-309000000.0,-293000000.0,235000000.0,0.0,0.0,0.0,-121000000.0,21000000.0,-83000000.0,150000000.0,-131000000.0,0.0,114000000.0,0.0,808000000.0,276340439.0,0.0,1919000000.0,42000000.0,0.0,38000000.0,38000000.0,808000000.0,137000000.0,95000000.0,38000000.0,0.14,2902000000.0,175000000.0,4000000.0,287000000.0,0.0,983000000.0,0.14,0.0612761422672173,-0.0274798927613941,-929000000.0,1.19720216606498,-0.611111111111111,0.338731909028256,10.5015393711523,-9.2604501607717,0.338731909028256,-3.36179533969692,5.0,-0.572424091587855
7,2019-05-04 00:00:00+00:00,1,2020,9498000000.0,1357000000.0,10998000000.0,61000000.0,8051000000.0,688000000.0,2197000000.0,0.0,-902000000.0,55000000.0,-1527000000.0,360000000.0,1759000000.0,275196908.0,0.0,274000000.0,0.0,8983000000.0,515000000.0,6065000000.0,0.0,1146000000.0,2947000000.0,11896000000.0,9699000000.0,0.0,-86000000.0,7000000.0,-267000000.0,-73000000.0,0.0,0.0,-2000000.0,-123000000.0,23000000.0,-83000000.0,145000000.0,-106000000.0,0.0,-196000000.0,0.0,781000000.0,275196908.0,0.0,1695000000.0,60000000.0,0.0,40000000.0,40000000.0,781000000.0,159000000.0,99000000.0,40000000.0,0.15,2629000000.0,153000000.0,20000000.0,304000000.0,0.0,934000000.0,0.14,0.0736601326114023,0.00114242193450109,-898000000.0,1.34137460172963,-0.11764705882353,0.355268162799544,9.5531596597735,-9.9589800443459,0.355268162799544,-3.26311805799795,3.0,-0.604419101924448
8,2019-02-02 00:00:00+00:00,4,2019,5811000000.0,1248000000.0,8090000000.0,62000000.0,4830000000.0,711000000.0,1986000000.0,0.0,-869000000.0,59000000.0,-1482000000.0,347000000.0,1759000000.0,275124993.0,0.0,367000000.0,0.0,5739000000.0,72000000.0,2818000000.0,0.0,1413000000.0,3260000000.0,8955000000.0,6969000000.0,0.0,-229000000.0,-61000000.0,1065000000.0,1364000000.0,0.0,0.0,1000000.0,-68000000.0,22000000.0,-166000000.0,146000000.0,-71000000.0,1000000.0,1296000000.0,0.0,1069000000.0,275124993.0,0.0,2884000000.0,711000000.0,0.0,540000000.0,540000000.0,1168000000.0,804000000.0,93000000.0,540000000.0,1.96,4852000000.0,800000000.0,171000000.0,950000000.0,0.0,1968000000.0,1.94,0.0823318844285349,0.00601285506945892,-865000000.0,1.64149043303122,-0.162393162393162,0.40560593569662,17.6356206213515,-6.60414269275029,0.40560593569662,-3.14402552297384,7.0,-0.602150537634409
10,2018-11-03 00:00:00+00:00,3,2019,5870000000.0,1963000000.0,7829000000.0,20000000.0,4896000000.0,1060000000.0,2142000000.0,0.0,-1314000000.0,11000000.0,-1856000000.0,242000000.0,1759000000.0,275063433.0,0.0,321000000.0,0.0,5814000000.0,56000000.0,2934000000.0,0.0,348000000.0,2933000000.0,9141000000.0,6999000000.0,0.0,-89000000.0,92000000.0,-495000000.0,-199000000.0,0.0,0.0,1000000.0,-216000000.0,25000000.0,-165000000.0,148000000.0,-208000000.0,-13000000.0,-415000000.0,0.0,874000000.0,275063433.0,0.0,1847000000.0,-41000000.0,0.0,-43000000.0,-43000000.0,874000000.0,55000000.0,96000000.0,-43000000.0,-0.16,2775000000.0,54000000.0,2000000.0,203000000.0,0.0,928000000.0,-0.16,0.0979998085941238,0.0599694423223835,-1312000000.0,1.36928104575163,-1.53333333333333,0.334414414414414,10.0885820035555,-4.42465753424658,0.334414414414414,-4.76980886078012,3.0,-0.738106679481019
11,2018-08-04 00:00:00+00:00,2,2019,5777000000.0,1315000000.0,7620000000.0,21000000.0,4905000000.0,821000000.0,1856000000.0,0.0,-1124000000.0,12000000.0,-1648000000.0,244000000.0,1759000000.0,277204090.0,0.0,310000000.0,0.0,5712000000.0,65000000.0,2949000000.0,0.0,843000000.0,2715000000.0,8742000000.0,6886000000.0,0.0,-311000000.0,-33000000.0,-189000000.0,291000000.0,0.0,-1000000.0,2000000.0,-185000000.0,25000000.0,-167000000.0,148000000.0,-171000000.0,-105000000.0,106000000.0,0.0,831000000.0,277204090.0,0.0,1925000000.0,129000000.0,0.0,99000000.0,99000000.0,831000000.0,227000000.0,98000000.0,99000000.0,0.36,2984000000.0,228000000.0,30000000.0,375000000.0,0.0,1059000000.0,0.36,0.11450820195315,0.0831215970961887,-1122000000.0,1.46282327586207,-0.25,0.354892761394102,10.7646319359862,-5.08185053380783,0.354892761394102,-4.04755932713691,6.0,-0.90400604686319
12,2018-05-05 00:00:00+00:00,1,2019,5808000000.0,1350000000.0,7749000000.0,22000000.0,4859000000.0,717000000.0,1858000000.0,0.0,-971000000.0,17000000.0,-1580000000.0,438000000.0,1759000000.0,278858024.0,0.0,274000000.0,0.0,5719000000.0,89000000.0,2894000000.0,0.0,1032000000.0,2890000000.0,8718000000.0,6860000000.0,0.0,-243000000.0,13000000.0,-483000000.0,-79000000.0,0.0,1000000.0,-2000000.0,-160000000.0,25000000.0,-168000000.0,148000000.0,-159000000.0,-80000000.0,-239000000.0,0.0,789000000.0,278858024.0,0.0,1682000000.0,59000000.0,0.0,48000000.0,48000000.0,789000000.0,157000000.0,98000000.0,48000000.0,0.17,2626000000.0,155000000.0,11000000.0,305000000.0,0.0,944000000.0,0.17,0.119071067763764,0.0775543701272057,-969000000.0,1.55543595263724,-0.484848484848485,0.359482102056359,9.41697844061321,-5.88980432543769,0.359482102056359,-3.47488656091173,5.0,-0.99707368981112
13,2018-02-03 00:00:00+00:00,4,2018,5794000000.0,1240000000.0,8149000000.0,14000000.0,4856000000.0,717000000.0,2031000000.0,0.0,-753000000.0,24000000.0,-1434000000.0,436000000.0,1759000000.0,282265177.0,0.0,310000000.0,0.0,5707000000.0,87000000.0,2893000000.0,0.0,1515000000.0,3293000000.0,8900000000.0,6869000000.0,0.0,-369000000.0,-37000000.0,780000000.0,1268000000.0,0.0,-27000000.0,-2000000.0,-108000000.0,28000000.0,-170000000.0,145000000.0,-117000000.0,-162000000.0,1160000000.0,0.0,1054000000.0,282265177.0,0.0,2783000000.0,842000000.0,0.0,664000000.0,664000000.0,1054000000.0,948000000.0,106000000.0,664000000.0,2.34,4823000000.0,986000000.0,178000000.0,1093000000.0,0.0,2040000000.0,2.31,0.124391015501424,0.0744040989084429,-751000000.0,1.62136878385032,0.0588235294117647,0.422973253161932,17.0867694387962,-7.57901726427623,0.422973253161932,-2.66061867064813,9.0,-1.08498896247241
