,year,quarter,date,statementData.balanceSheet.deferredRev,statementData.balanceSheet.debt,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.acctPay,statementData.balanceSheet.ppeq,statementData.balanceSheet.acctRec,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.accoci,statementData.balanceSheet.taxAssets,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.intangibles,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.totalAssets,statementData.balanceSheet.totalLiabilities,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncf,statementData.cashFlow.ncfx,statementData.cashFlow.ncfo,statementData.cashFlow.ncff,statementData.cashFlow.depamor,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfi,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.taxExp,statementData.incomeStatement.costRev,statementData.incomeStatement.ebitda,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opinc,statementData.incomeStatement.intexp,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.shareswa,statementData.incomeStatement.ebit,statementData.incomeStatement.grossProfit,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.netinc,statementData.incomeStatement.revenue,statementData.incomeStatement.opex,statementData.incomeStatement.sga,statementData.incomeStatement.rnd,statementData.incomeStatement.ebt,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2021,3,2020-11-01 00:00:00+00:00,25600000.0,5386800000.0,2567900000.0,4676200000.0,1134400000.0,2566900000.0,818700000.0,3670900000.0,1460000000.0,-614300000.0,0.0,6013100000.0,0.0,3967900000.0,0.0,6345000000.0,468100000.0,0.0,4918700000.0,1483500000.0,0.0,0.0,9289300000.0,71093008.0,13257200000.0,8581000000.0,127900000.0,-200000.0,65700000.0,-7200000.0,179000000.0,-53400000.0,80200000.0,0.0,0.0,14800000.0,-52700000.0,-1600000.0,-51100000.0,-53200000.0,-300000.0,19100000.0,1016800000.0,203500000.0,0.98,0.0,69500000.0,114100000.0,34400000.0,0.98,69800000.0,71093008.0,123300000.0,1101300000.0,0.0,69800000.0,2118100000.0,987200000.0,987200000.0,0.0,88900000.0,4.0,-0.181473895737527,0.519947122421038,1.54519256980412,4676200000.0,0.519947122421038,29.793365896123,-0.653710247349823,1.05185834652068,-0.234020608028757,65.7758073761628,-0.087407432835764
1,2021,2,2020-08-02 00:00:00+00:00,49600000.0,5541500000.0,2526100000.0,4583500000.0,1048200000.0,2671600000.0,596200000.0,3601100000.0,1394300000.0,-622600000.0,0.0,6142900000.0,0.0,3846800000.0,0.0,6369200000.0,511100000.0,0.0,5030400000.0,1642200000.0,0.0,0.0,9405700000.0,71039094.0,13252500000.0,8669000000.0,339600000.0,-1100000.0,593600000.0,35300000.0,390800000.0,218700000.0,78900000.0,0.0,0.0,11800000.0,-51200000.0,0.0,-51200000.0,232500000.0,-300000.0,17900000.0,697400000.0,78100000.0,-0.72,0.0,-51700000.0,1100000.0,32700000.0,-0.72,-51400000.0,71039094.0,-800000.0,883300000.0,0.0,-51400000.0,1580700000.0,882200000.0,882200000.0,0.0,-33500000.0,5.0,-0.331401742661365,0.558803061934586,1.52282174102371,4583500000.0,0.558803061934586,22.2511283716541,-1.27799227799228,1.09750190902149,-0.192672362217915,64.5208115970623,-0.0756735824831898
2,2021,1,2020-05-03 00:00:00+00:00,51700000.0,5082100000.0,2321600000.0,4513400000.0,783900000.0,2614500000.0,566900000.0,3652500000.0,800700000.0,-733400000.0,0.0,5459200000.0,0.0,3188300000.0,0.0,6144400000.0,734700000.0,0.0,4347400000.0,1561200000.0,0.0,0.0,9105900000.0,70883444.0,12294200000.0,7780800000.0,-199200000.0,-114800000.0,297300000.0,-9000000.0,-142800000.0,336400000.0,81100000.0,0.0,-2700000.0,10000000.0,112700000.0,169100000.0,-56400000.0,453900000.0,-400000.0,-142400000.0,678100000.0,-1135600000.0,-15.37,0.0,-1097200000.0,-1207700000.0,22500000.0,-15.37,-1096800000.0,70883444.0,-1216700000.0,665900000.0,0.0,-1096800000.0,1344000000.0,1873600000.0,940100000.0,0.0,-1239200000.0,2.0,-0.429614225692823,0.49546130952381,1.37332012405238,4513400000.0,0.49546130952381,18.9607039973961,-15.1009174311927,0.963220631896131,-0.13732040375625,63.6735427245888,-0.0566536409170971
3,2020,4,2020-02-02 00:00:00+00:00,64700000.0,4652800000.0,2361100000.0,5811500000.0,882800000.0,2702600000.0,765100000.0,4753000000.0,503400000.0,-640100000.0,0.0,5458400000.0,0.0,3394200000.0,0.0,7158300000.0,426900000.0,0.0,4225900000.0,1615700000.0,0.0,0.0,10236800000.0,72958317.0,13631000000.0,7819500000.0,476400000.0,-104300000.0,-51800000.0,-400000.0,588500000.0,-502600000.0,87300000.0,0.0,0.0,12900000.0,-137300000.0,-25200000.0,-112100000.0,-398300000.0,-1100000.0,-57200000.0,1202900000.0,-5800000.0,-0.86,0.0,-68500000.0,140300000.0,31500000.0,-0.86,-67400000.0,72958317.0,-93100000.0,1397900000.0,0.0,-67400000.0,2600800000.0,1257600000.0,1257600000.0,0.0,-124600000.0,5.0,0.0470209339774557,0.537488465087665,1.43755029435433,5811500000.0,0.537488465087665,35.6477521267383,-1.40952380952381,0.727161662221458,0.0712426055706835,79.6550720872577,0.0304453535815971
5,2020,3,2019-11-03 00:00:00+00:00,44800000.0,5032000000.0,2552700000.0,5985100000.0,780500000.0,2642800000.0,998800000.0,4820400000.0,555200000.0,-622600000.0,0.0,5481400000.0,0.0,3582100000.0,0.0,7458100000.0,776100000.0,0.0,4255900000.0,1768100000.0,0.0,0.0,10437100000.0,74143808.0,14019200000.0,8034100000.0,31300000.0,-95500000.0,121700000.0,-1800000.0,113900000.0,94800000.0,81600000.0,0.0,-2800000.0,14900000.0,-85200000.0,-2600000.0,-82600000.0,193100000.0,-300000.0,32800000.0,1181500000.0,352800000.0,2.83,0.0,208900000.0,264600000.0,29200000.0,2.82,209200000.0,74143808.0,271200000.0,1406200000.0,0.0,209200000.0,2587700000.0,1141600000.0,1141600000.0,0.0,242000000.0,4.0,0.0250346603287779,0.543416933956796,1.40325929408078,5985100000.0,0.543416933956796,34.9010938310587,-0.110062893081761,0.711082521595295,0.109766656288253,80.7228568567722,0.0485046778291254
6,2020,2,2019-08-04 00:00:00+00:00,68900000.0,4848100000.0,2427700000.0,5871700000.0,930200000.0,2634100000.0,808900000.0,4614000000.0,433500000.0,-611400000.0,0.0,5521500000.0,0.0,3398600000.0,0.0,7461100000.0,569600000.0,0.0,4278500000.0,1862100000.0,0.0,0.0,10422300000.0,74913188.0,13820900000.0,7949200000.0,376700000.0,-67200000.0,-60800000.0,-3100000.0,391100000.0,-242100000.0,78400000.0,0.0,-2800000.0,14400000.0,-206700000.0,-192300000.0,-14400000.0,-172100000.0,-400000.0,29700000.0,1075800000.0,329900000.0,2.59,0.0,193100000.0,133900000.0,28300000.0,2.58,193500000.0,74913188.0,251500000.0,1288400000.0,0.0,193500000.0,2364200000.0,1154500000.0,1154500000.0,0.0,223200000.0,5.0,0.0214291886287048,0.5449623551307,1.39992585574824,5871700000.0,0.5449623551307,31.5591962259035,0.111587982832618,0.728664611611629,0.117067521670368,78.3800577276193,0.0532567991271955
7,2020,1,2019-05-05 00:00:00+00:00,55900000.0,4923800000.0,2206600000.0,5761500000.0,696200000.0,2568300000.0,876000000.0,4423300000.0,494300000.0,-583700000.0,0.0,5386900000.0,0.0,3253400000.0,0.0,7149700000.0,665000000.0,0.0,4258800000.0,1608400000.0,0.0,0.0,10101600000.0,75146409.0,13355000000.0,7593500000.0,-149900000.0,-75600000.0,42300000.0,-6100000.0,-73200000.0,198300000.0,76500000.0,0.0,-5700000.0,13900000.0,-76700000.0,0.0,-76700000.0,279600000.0,-400000.0,23600000.0,1060400000.0,213100000.0,1.09,0.0,81600000.0,134400000.0,31000000.0,1.08,82000000.0,75146409.0,136600000.0,1295900000.0,0.0,82000000.0,2356300000.0,1161500000.0,1161500000.0,0.0,105600000.0,3.0,-0.057065108647805,0.549972414378475,1.4743949968277,5761500000.0,0.549972414378475,31.3561224196355,-0.226950354609929,0.739182504556105,0.116172033404715,76.6703303147859,0.0544005643484359
8,2019,4,2019-02-03 00:00:00+00:00,65300000.0,2832200000.0,1893900000.0,5827800000.0,924200000.0,984500000.0,803800000.0,4350100000.0,452000000.0,-507900000.0,0.0,4142000000.0,0.0,3238600000.0,0.0,7239700000.0,12800000.0,0.0,2819400000.0,1732400000.0,0.0,0.0,8625100000.0,75735222.0,11863700000.0,6035900000.0,437700000.0,-54700000.0,53500000.0,800000.0,547400000.0,-385000000.0,86800000.0,0.0,0.0,14300000.0,-109700000.0,0.0,-109700000.0,-330300000.0,-300000.0,-53900000.0,1128500000.0,222400000.0,2.1,0.0,158400000.0,138500000.0,30800000.0,2.09,158700000.0,75735222.0,135600000.0,1355500000.0,0.0,158700000.0,2484000000.0,1217000000.0,1217000000.0,0.0,104800000.0,6.0,0.0538820534577853,0.545692431561997,1.71001636834046,5827800000.0,0.545692431561997,32.798477833735,-0.320388349514563,0.483784618552455,0.122016806722689,76.9496655070213,0.0583318708782554
10,2019,3,2018-11-04 00:00:00+00:00,39300000.0,3155000000.0,1898600000.0,5681200000.0,752500000.0,923700000.0,965600000.0,4191400000.0,398500000.0,-534300000.0,0.0,4251100000.0,0.0,3307800000.0,0.0,7230200000.0,276700000.0,0.0,2878300000.0,1686900000.0,0.0,0.0,8523100000.0,76715454.0,11830900000.0,6149700000.0,-110700000.0,-108400000.0,-32600000.0,-600000.0,-5800000.0,78700000.0,81800000.0,0.0,-2800000.0,15100000.0,-104900000.0,0.0,-104900000.0,189900000.0,-500000.0,10300000.0,1159700000.0,365500000.0,3.18,0.0,242600000.0,273500000.0,30300000.0,3.15,243100000.0,76715454.0,283700000.0,1364800000.0,0.0,243100000.0,2524500000.0,1091300000.0,1091300000.0,0.0,253400000.0,5.0,0.219624136431712,0.540621905327788,1.74223111766565,5681200000.0,0.540621905327788,32.9073200818182,1.06493506493507,0.506635921988312,0.139832970225127,74.0554830060707,0.0654244904373383
11,2019,1,2018-05-06 00:00:00+00:00,47800000.0,3267700000.0,1727100000.0,5564600000.0,670500000.0,873500000.0,812300000.0,3788800000.0,434500000.0,-406600000.0,0.0,4422900000.0,0.0,3041600000.0,0.0,7434900000.0,254500000.0,0.0,3013200000.0,1524900000.0,0.0,0.0,8673000000.0,76991793.0,11714600000.0,6150000000.0,-202400000.0,-61900000.0,-59400000.0,-7100000.0,-125700000.0,166000000.0,83200000.0,0.0,-5900000.0,11600000.0,-92600000.0,-15900000.0,-76700000.0,233800000.0,-500000.0,37000000.0,1023600000.0,329000000.0,2.33,0.0,178900000.0,238000000.0,29400000.0,2.29,179400000.0,76991793.0,245800000.0,1291000000.0,0.0,179400000.0,2314600000.0,1053000000.0,1053000000.0,0.0,216400000.0,5.0,0.163700351935646,0.557763760476972,1.76110242603208,5564600000.0,0.557763760476972,30.0629445011107,1.58888888888889,0.541494447040219,0.120637881189965,72.2752358813101,0.0553857219924474
12,2018,4,2018-02-04 00:00:00+00:00,39200000.0,3080800000.0,1871600000.0,5536400000.0,889800000.0,899800000.0,696400000.0,3625200000.0,493900000.0,-321500000.0,0.0,4477700000.0,0.0,3030800000.0,0.0,7561300000.0,19500000.0,0.0,3061300000.0,1591300000.0,0.0,0.0,8854900000.0,76929334.0,11885700000.0,6349300000.0,319300000.0,-40300000.0,-118400000.0,15900000.0,438800000.0,-443900000.0,85900000.0,0.0,-100000.0,11900000.0,-129200000.0,-9700000.0,-119500000.0,-403500000.0,-600000.0,-82800000.0,1129900000.0,146500000.0,1.41,0.0,107900000.0,80600000.0,34900000.0,1.39,108500000.0,76929334.0,60600000.0,1369000000.0,0.0,108500000.0,2498900000.0,1288400000.0,1290800000.0,0.0,25700000.0,6.0,0.185605162024956,0.547841050062027,1.61936311177602,5536400000.0,0.547841050062027,32.4830577631154,0.1015625,0.552940538978398,0.103640322984718,71.967346032139,0.0468567918606145
